01/01/2020,#Dispatch,1501585,00:03,14:33
01/01/2020,Зеленского,10805,00:03,23:34
01/01/2020,#skamfrance,-,00:03,05:33
01/01/2020,С Наступившим,-,00:03,20:04
01/01/2020,С Новым Годом,36124,00:03,23:34
01/01/2020,Happy New Year,6074045,00:03,23:34
01/01/2020,с наступающим,-,00:03,18:34
01/01/2020,С Новым 2020,-,00:03,21:34
01/01/2020,взаимно,-,00:03,02:33
01/01/2020,С НГ,-,00:03,07:38
01/01/2020,#dispatch,1501851,00:33,15:33
01/01/2020,#BTSatTimeSquare,1072644,00:33,03:33
01/01/2020,с наступившим,-,00:33,20:34
01/01/2020,#BTSxRockinEve,1658853,01:03,15:03
01/01/2020,100 QTM,-,01:03,23:34
01/01/2020,#btsxrockineve,1644442,01:33,23:34
01/01/2020,#2020NewYear,358091,01:33,23:34
01/01/2020,Всех с Новым,-,02:03,02:03
01/01/2020,Happy New Years,495061,03:08,05:33
01/01/2020,Взаимно,-,03:08,09:08
01/01/2020,с нг,-,03:08,03:08
01/01/2020,#happynewyear2020,1053985,03:33,21:34
01/01/2020,всех с новым,-,04:03,04:03
01/01/2020,#новыйгод,-,04:33,04:33
01/01/2020,С Наступающим,40552,05:03,10:03
01/01/2020,#HappyNew2020,107453,06:03,18:04
01/01/2020,Утро 1,-,06:03,10:33
01/01/2020,утро 1,-,08:03,12:08
01/01/2020,Дорогие,-,08:03,10:33
01/01/2020,#BTSatTimesSquare,420080,08:38,09:08
01/01/2020,дорогие,-,09:33,11:03
01/01/2020,#btsattimesquare,1291277,09:33,12:08
01/01/2020,The Quantum,-,10:33,10:33
01/01/2020,#HappyNewYear2020,1455340,11:38,11:38
01/01/2020,#2020newyear,382081,11:38,21:34
01/01/2020,#LeaveTwiceAlone,78479,12:33,16:03
01/01/2020,#happynew2020,106850,13:03,17:34
01/01/2020,Гарри Поттер,-,14:08,19:04
01/01/2020,с новым 2020,-,14:08,23:34
01/01/2020,#HarryPotter,-,15:03,19:34
01/01/2020,зеленского,10814,15:03,22:34
01/01/2020,#DoctorWho,53407,16:03,23:34
01/01/2020,#Голос,-,16:33,18:04
01/01/2020,#에셈아_에프엑스_라이브들_삭제를_그만,-,16:33,23:34
01/01/2020,#голос,-,17:04,19:34
01/01/2020,#ночьдоктора,-,17:34,17:34
01/01/2020,#ARSMUN,174567,18:34,19:34
01/01/2020,#ночьпоттера,-,18:34,18:34
01/01/2020,с новым годом,56264,18:34,18:34
01/01/2020,#arsmun,200774,20:04,21:04
01/01/2020,#Heechul,85215,21:04,23:34
01/01/2020,100 qtm,-,22:34,22:34
02/01/2020,#Heechul,209656,00:03,10:04
02/01/2020,#Momo,93498,00:03,00:03
02/01/2020,#doctorwho,24464,00:03,23:04
02/01/2020,#에셈아_에프엑스_라이브들_삭제를_그만,-,00:03,11:34
02/01/2020,Happy New Year,1530089,00:03,23:34
02/01/2020,С Новым Годом,-,00:03,20:04
02/01/2020,Зеленского,-,00:03,23:04
02/01/2020,#2020NewYear,204182,00:03,07:04
02/01/2020,100 QTM,-,00:03,23:34
02/01/2020,с новым 2020,-,00:03,02:33
02/01/2020,#DoctorWho,24689,00:33,23:34
02/01/2020,#happynewyear2020,515263,00:33,08:34
02/01/2020,#btsxrockineve,443927,00:33,04:33
02/01/2020,#momo,121416,01:33,01:33
